Altium Designer Pick and Place Locations
C:\Users\pablo\Documents\Trabajos\CURVILUX\Files_enviados_China_rev_28_julio\Curvilux2_5\Curvilux2_5\Project Outputs for Curvi2_5\Pick Place for Curvi2_5.txt

========================================================================================================================
File Design Information:

Date:       28/07/18
Time:       14:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                             
T          KK®                 TopLayer    PCBComponent_1             5264.000      231.055       90       "Connector 4 Male"                                                                      
Q4         BSZ042N06NS         BottomLayer BSZ042N06NS_v2             1535.433      418.071       270      "MOSFET, N-CH, 60V, 17A, PG-TSDSON-8"                                                   
Q3         BSZ042N06NS         BottomLayer BSZ042N06NS_v2             669.291       417.992       270      "MOSFET, N-CH, 60V, 17A, PG-TSDSON-8"                                                   
Q2         BSZ042N06NS         BottomLayer BSZ042N06NS_v2             1692.913      418.071       90       "MOSFET, N-CH, 60V, 17A, PG-TSDSON-8"                                                   
Q1         BSZ042N06NS         BottomLayer BSZ042N06NS_v2             511.811       417.992       90       "MOSFET, N-CH, 60V, 17A, PG-TSDSON-8"                                                   
Q8         CSD17578Q3A         BottomLayer CSD17578Q3                 2095.000      978.000       180      ""                                                                                      
Q7         CSD17578Q3A         BottomLayer CSD17578Q3                 2279.000      859.000       270      ""                                                                                      
12v        Plugs               BottomLayer SAMTEC_MTLW-101-07-L-S-250 3457.000      85.000        0        "Single Terminal Socket"                                                                
*USB1      ""                  TopLayer    usb_c                      2244.095      1870.079      180      ""                                                                                      
*USB2      ConnectTypeC        TopLayer    usb_c                      1141.732      1870.079      180      ""                                                                                      
R115       49k9                TopLayer    RESC1608X55N               844.000       1627.000      270      "Resistor - 0.1%"                                                                       
QI1        "Header 2"          BottomLayer B2B-XH-AM                  155.000       1625.000      90       "Header, 2-Pin"                                                                         
Ri11       10k                 BottomLayer RES_0603                   4249.000      1466.000      180      "Resistor - 1%"                                                                         
Ri10       10k                 BottomLayer RES_0603                   4249.000      1411.000      180      "Resistor - 1%"                                                                         
Ri9        10k                 BottomLayer RES_0603                   4249.000      1109.000      180      "Resistor - 1%"                                                                         
Ri8        10k                 BottomLayer RES_0603                   4249.000      961.000       180      "Resistor - 1%"                                                                         
Ri7        10k                 BottomLayer RES_0603                   4249.000      911.000       180      "Resistor - 1%"                                                                         
Ri6        10k                 BottomLayer RES_0603                   4249.000      861.000       180      "Resistor - 1%"                                                                         
Ri5        10k                 BottomLayer RES_0603                   4249.000      811.000       180      "Resistor - 1%"                                                                         
Ri4        10k                 BottomLayer RES_0603                   4249.000      761.000       180      "Resistor - 1%"                                                                         
Ri3        10k                 BottomLayer RES_0603                   4249.000      711.000       180      "Resistor - 1%"                                                                         
Ri2        10k                 BottomLayer RES_0603                   4249.000      611.000       180      "Resistor - 1%"                                                                         
Ri1        10k                 BottomLayer RES_0603                   4249.000      661.000       180      "Resistor - 1%"                                                                         
AZ1        AZ1117CH-3.3TRG1    BottomLayer SOT230P700X175-4N          4131.000      322.000       90       ""                                                                                      
Cs31       100nF               BottomLayer CAP_0603                   794.000       1711.000      270      "Non-polarised capacitor"                                                               
Cs21       100nF               TopLayer    CAP_0603                   326.000       840.000       90       "Non-polarised capacitor"                                                               
Cs11       100nF               BottomLayer CAP_0603                   3283.000      1412.000      90       "Non-polarised capacitor"                                                               
Cs3        100nF               TopLayer    CAP_0603                   5159.000      1507.000      270      "Non-polarised capacitor"                                                               
Cs2        100nF               TopLayer    CAP_0603                   5216.000      1507.000      270      "Non-polarised capacitor"                                                               
Cs1        100nF               TopLayer    CAP_0603                   5273.000      1507.000      270      "Non-polarised capacitor"                                                               
RH2        0                   TopLayer    RES_1206                   1763.000      415.000       180      Resistor                                                                                
5vp        Plugs               BottomLayer SAMTEC_MTLW-101-07-L-S-250 3751.000      538.000       180      "Single Terminal Socket"                                                                
Ct         "Cap Pol3"          TopLayer    C0805                      5446.000      1380.000      0        "Polarized Capacitor (Surface Mount)"                                                   
jmps2      "Header 8"          BottomLayer 2x4PinesSMD                1504.000      2124.000      360      "Connector 8 Male"                                                                      
